ID;Kuh/Faerse;Gekalbt (ja/nein);Umstallzeit;Echte Geburtszeit;Geburtsverlauf;Event (ja/nein);Event Score;SonT;Eventzeit;SoffT;Moocall Score;Alarm (ja/nein);Alarmtyp (HA1/HA2);Alarmzeit
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-20 07:08:00;2017-12-20 10:03:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;2;2017-12-20 10:04:00;2017-12-20 11:17:00;;0;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;3;2017-12-20 11:18:00;2017-12-20 13:04:00;;0;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-20 13:05:00;2017-12-20 17:20:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-20 17:21:00;2017-12-20 18:06:00;;2;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-20 18:07:00;2017-12-20 19:07:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-20 19:08:00;2017-12-20 21:10:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;3;2017-12-20 21:11:00;2017-12-20 23:10:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-20 23:11:00;2017-12-21 02:06:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-21 02:07:00;2017-12-21 03:06:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-21 03:07:00;2017-12-21 04:02:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;4;2017-12-21 04:03:00;2017-12-21 07:01:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;ja;1;2017-12-21 07:02:00;2017-12-21 10:30:00;;1;nein;;
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA1h;2017-12-20 08:50:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA1h;2017-12-20 13:00:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA1h;2017-12-20 22:33:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA1h;2017-12-21 03:50:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA2h;2017-12-20 09:50:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA2h;2017-12-20 14:00:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA2h;2017-12-20 23:33:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA2h;2017-12-21 05:02:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA1h;2017-12-21 08:42:00
2747;Faerse;ja;2017-12-21 10:30:00;2017-12-21 11:00:00;1;nein;;;;;;ja;HA2h;2017-12-21 09:42:00
2596;Faerse;ja;2017-10-09 18:30:00;2017-10-09 19:35:00;2;ja;1;2017-10-09 04:02:00;2017-10-09 18:30:00;2017-10-09 20:29:00;2;nein;;
2596;Faerse;ja;2017-10-09 18:30:00;2017-10-09 19:35:00;2;nein;;;;;;ja;HA1h;2017-10-09 16:17:00
2596;Faerse;ja;2017-10-09 18:30:00;2017-10-09 19:35:00;2;nein;;;;;;ja;HA1h;2017-10-09 18:37:00
2596;Faerse;ja;2017-10-09 18:30:00;2017-10-09 19:35:00;2;nein;;;;;;ja;HA2h;2017-10-09 19:37:00
2601;Faerse;ja;2017-10-23 14:30:00;2017-10-23 16:45:00;2;ja;3;2017-10-22 23:11:00;2017-10-23 03:16:00;;1;nein;;
2601;Faerse;ja;2017-10-23 14:30:00;2017-10-23 16:45:00;2;ja;2;2017-10-23 03:17:00;2017-10-23 12:05:00;;0;nein;;
