Kuh ID;Kuh / Faerse;Gekalbt (ja / nein);Erster SonT;Anzahl HA1-Alarme;HA1_1;HA1_2;HA1_3;HA1_4;HA1_5;HA1_6;HA1_7;HA1_8;HA1_9;HA1_10;HA1_11;HA1_12;HA1_13;HA1_14;HA1_15;HA1_16;HA1_17;HA1_18;Anzahl HA2-Alarme;HA2_1;HA2_2;HA2_3;HA2_4;HA2_5;HA2_6;HA2_7;HA2_8;HA2_9;Umstallzeit;dt HA1_1 [h];dt HA1_2 [h];dt HA1_3 [h];dt HA1_4 [h];dt HA1_5 [h];dt HA1_6 [h];dt HA1_7 [h];dt HA1_8 [h];dt HA1_9 [h];dt HA1_10 [h];dt HA1_11 [h];dt HA1_12 [h];dt HA1_13 [h];dt HA1_14 [h];dt HA1_15 [h];dt HA1_16 [h];dt HA1_17 [h];dt HA1_18 [h];dt HA2_1 [h];dt HA2_2 [h];dt HA2_3 [h];dt HA2_4 [h];dt HA2_5 [h];dt HA2_6 [h];dt HA2_7 [h];dt HA2_8 [h];dt HA2_9 [h]
2658;Faerse;ja;2017-11-07 00:33:00;5;2017-11-07 00:34:00;2017-11-07 11:07:00;2017-11-08 15:01:00;2017-11-09 06:01:00;2017-11-09 10:22:00;;;;;;;;;;;;;;4;2017-11-07 01:34:00;2017-11-08 16:01:00;2017-11-09 07:01:00;2017-11-09 11:22:00;;;;;;2017-11-09 11:30:00;58,93333333333333;48,38333333333333;20,483333333333334;5,483333333333333;1,1333333333333333;;;;;;;;;;;;;;57,93333333333333;19,483333333333334;4,483333333333333;0,13333333333333333;;;;;
3685;Kuh;ja;2017-12-15 14:12:00;1;2017-12-16 15:35:00;;;;;;;;;;;;;;;;;;1;2017-12-16 16:34:00;;;;;;;;;2017-12-16 16:30:00;0,9166666666666666;;;;;;;;;;;;;;;;;;-0,06666666666666667;;;;;;;;
9745;Kuh;ja;2017-10-02 21:20:00;1;2017-10-03 01:40:00;;;;;;;;;;;;;;;;;;1;2017-10-03 02:28:00;;;;;;;;;2017-10-03 03:30:00;1,8333333333333333;;;;;;;;;;;;;;;;;;1,0333333333333334;;;;;;;;
1641;Kuh;ja;2017-10-08 19:48:00;1;2017-10-08 21:27:00;;;;;;;;;;;;;;;;;;1;2017-10-08 22:16:00;;;;;;;;;2017-10-08 21:30:00;0,05;;;;;;;;;;;;;;;;;;-0,7666666666666667;;;;;;;;
618;Kuh;ja;2017-10-24 23:21:00;2;2017-10-25 03:17:00;2017-10-25 10:42:00;;;;;;;;;;;;;;;;;1;2017-10-25 11:42:00;;;;;;;;;2017-10-27 23:30:00;68,21666666666667;60,8;;;;;;;;;;;;;;;;;59,8;;;;;;;;
108;Kuh;nein;2017-10-04 05:01:00;4;2017-10-08 23:41:00;2017-10-08 05:51:00;2017-10-08 16:24:00;2017-10-06 10:23:00;;;;;;;;;;;;;;;2;2017-10-08 17:23:00;2017-10-06 10:59:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
622;Kuh;ja;2017-10-05 23:00:00;1;2017-10-06 17:38:00;;;;;;;;;;;;;;;;;;1;2017-10-06 18:38:00;;;;;;;;;2017-10-06 19:30:00;1,8666666666666667;;;;;;;;;;;;;;;;;;0,8666666666666667;;;;;;;;
1138;Kuh;ja;2017-10-08 17:13:00;1;2017-10-14 07:46:00;;;;;;;;;;;;;;;;;;1;2017-10-14 08:46:00;;;;;;;;;2017-10-14 07:35:00;-0,18333333333333332;;;;;;;;;;;;;;;;;;-1,1833333333333333;;;;;;;;
3701;Kuh;ja;2017-10-06 01:00:00;4;2017-10-13 18:36:00;2017-10-14 00:38:00;2017-10-14 05:29:00;2017-10-11 11:16:00;;;;;;;;;;;;;;;3;2017-10-13 19:35:00;2017-10-14 03:22:00;2017-10-14 06:41:00;;;;;;;2017-10-14 09:30:00;14,9;8,866666666666667;4,016666666666667;70,23333333333333;;;;;;;;;;;;;;;13,916666666666666;6,133333333333334;2,816666666666667;;;;;;
9847;Kuh;nein;2017-10-06 23:25:00;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
