Cow-ID;SonT;HA 1h;HA 2h;SoffT;Event;Event-Score;Moocall-Score;Date/Time of Parturition;Kommentar;Valid Calving;dt HA1 [min];dt HA2 [min];TP HA1;TP HA2;HA1 strict;FP HA1;FP HA2;FP soft;FN HA1;FN HA2;FN soft;;;
2641;;02.11.2017 16:37;;;;6;;09.11.2017 04:50;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
2641;;02.11.2017 18:43;;;03.11.2017 00:10;4;3;09.11.2017 04:50;;0;327;INVALID;0;0;0;1;0;0;0;0;0;;;
2641;03.11.2017 00:11;03.11.2017 06:35;;;03.11.2017 12:01;2;3;09.11.2017 04:50;;0;326;INVALID;0;0;0;1;0;0;0;0;0;;;
2641;03.11.2017 14:02;;;;04.11.2017 00:25;2;3;09.11.2017 04:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2633;04.11.2017 00:28;03.11.2017 10:21;03.11.2017 11:21;03.11.2017 11:57;;6;;05.11.2017 12:15;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2633;;;03.11.2017 16:10;;;6;;05.11.2017 12:15;;0;INVALID;INVALID;0;0;0;0;1;0;0;0;0;;;
2633;;;03.11.2017 22:44;;;6;;05.11.2017 12:15;;0;INVALID;INVALID;0;0;0;0;1;0;0;0;0;;;
2633;;04.11.2017 01:19;04.11.2017 02:19;;;6;;05.11.2017 12:15;;1;1991;1931;0;0;0;0;0;0;0;0;0;;;
2633;;05.11.2017 08:53;05.11.2017 10:05;05.11.2017 11:00;05.11.2017 10:30;1;0;05.11.2017 12:15;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2641;05.11.2017 13:02;05.11.2017 11:26;;;06.11.2017 01:08;2;4;09.11.2017 04:50;;0;822;INVALID;0;0;0;1;0;0;0;0;0;;;
2636;06.11.2017 01:11;;;;06.11.2017 10:01;4;2;08.11.2017 18:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
570;06.11.2017 10:11;06.11.2017 11:55;;;06.11.2017 12:00;2;1;07.11.2017 23:45;;0;4999999995;INVALID;0;0;0;1;0;0;0;0;0;;;
3661;06.11.2017 12:25;;06.11.2017 12:55;;06.11.2017 18:15;5;1;10.11.2017 17:50;;0;INVALID;320;0;0;0;0;1;0;0;0;0;;;
3661;06.11.2017 18:16;;;;07.11.2017 07:27;3;0;10.11.2017 17:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3661;07.11.2017 07:28;;;;07.11.2017 08:24;3;0;10.11.2017 17:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3661;07.11.2017 08:25;07.11.2017 21:06;;08.11.2017 11:17;08.11.2017 10:12;4;2;10.11.2017 17:50;;0;786;INVALID;0;0;0;1;0;0;0;0;0;;;
3661;08.11.2017 12:12;;;;10.11.2017 14:55;6;;10.11.2017 17:50;TFAB;;;;;;;;;;;;;;;
3661;;;;10.11.2017 16:13;10.11.2017 16:30;1;0;10.11.2017 17:50;;1;INVALID;INVALID;0;0;0;0;0;0;1;1;1;;;
2645;10.11.2017 23:13;11.11.2017 03:35;11.11.2017 04:35;11.11.2017 11:59;11.11.2017 11:04;3;0;;Study over;0;449;389;0;0;0;1;1;1;0;0;0;;;
2574;29.09.2017 18:10;29.09.2017 18:32;29.09.2017 19:32;;;6;;02.10.2017 17:40;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2574;;30.09.2017 20:49;;;01.10.2017 04:00;3;;02.10.2017 17:40;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
2574;01.10.2017 04:01;01.10.2017 08:50;01.10.2017 09:50;;;6;;02.10.2017 17:40;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2574;;02.10.2017 14:25;02.10.2017 15:25;02.10.2017 17:21;02.10.2017 17:00;3;;02.10.2017 17:40;;0;155;9500000001;0;0;0;1;1;1;0;0;0;;;
2532;02.10.2017 18:00;02.10.2017 19:27;;;;6;;03.10.2017 13:35;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
2532;;02.10.2017 21:41;;02.10.2017 23:07;02.10.2017 22:00;2;0;03.10.2017 13:35;;0;19;INVALID;0;0;0;1;0;0;0;0;0;;;
921;29.09.2017 16:16;;;;29.09.2017 16:20;2;;08.10.2017 00:50;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
858;29.09.2017 16:25;;;;29.09.2017 17:00;2;;30.09.2017 03:25;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1854;29.09.2017 18:15;29.09.2017 19:46;;29.09.2017 20:18;29.09.2017 20:00;2;;01.10.2017 11:55;;0;14;INVALID;0;0;0;1;0;0;0;0;0;;;
398;30.09.2017 10:00;30.09.2017 16:40;;;01.10.2017 09:00;3;;03.10.2017 06:50;;0;980;INVALID;0;0;0;1;0;0;0;0;0;;;
398;01.10.2017 09:01;03.10.2017 05:12;03.10.2017 06:12;;03.10.2017 04:30;1;;03.10.2017 06:50;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2532;03.10.2017 07:50;03.10.2017 08:46;03.10.2017 09:46;;;6;;03.10.2017 13:35;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2532;;03.10.2017 13:03;;03.10.2017 13:29;;6;;03.10.2017 13:35;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
2572;03.10.2017 13:50;03.10.2017 14:39;03.10.2017 15:39;;03.10.2017 23:00;3;;10.10.2017 08:00;;0;501;441;0;0;0;1;1;1;0;0;0;;;
2572;03.10.2017 23:01;04.10.2017 02:24;;;04.10.2017 10:00;3;1;10.10.2017 08:00;;0;456;INVALID;0;0;0;1;0;0;0;0;0;;;
2572;04.10.2017 10:05;;;;04.10.2017 13:30;2;;07.10.2017 07:55;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2572;04.10.2017 13:47;04.10.2017 15:39;04.10.2017 16:39;;04.10.2017 23:00;3;1;10.10.2017 08:00;;0;441;381;0;0;0;1;1;1;0;0;0;;;
2572;04.10.2017 23:01;05.10.2017 12:42;;05.10.2017 23:51;05.10.2017 23:00;4;2;10.10.2017 08:00;;0;618;INVALID;0;0;0;1;0;0;0;0;0;;;
3701;06.10.2017 01:00;;;;06.10.2017 09:00;2;;14.10.2017 12:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2576;06.10.2017 23:00;07.10.2017 04:39;07.10.2017 05:26;07.10.2017 07:47;07.10.2017 06:30;1;0;07.10.2017 07:55;;1;111;64;1;1;1;0;0;0;0;0;0;;;
3493;07.10.2017 08:20;;;08.10.2017 07:35;07.10.2017 15:14;2;1;08.10.2017 18:35;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
3493;;08.10.2017 08:10;08.10.2017 09:18;09.10.2017 12:31;;5;;08.10.2017 18:35;;0;INVALID;INVALID;0;0;0;1;1;1;0;0;0;;;
2576;29.09.2017 16:12;29.09.2017 17:50;;01.10.2017 12:51;01.10.2017 13:00;2;;07.10.2017 07:55;;0;2590;INVALID;0;0;0;1;0;0;0;0;0;;;
1045;02.10.2017 13:00;04.10.2017 14:33;04.10.2017 15:21;04.10.2017 17:09;04.10.2017 15:30;1;;04.10.2017 16:20;;1;5700000001;9000000008;1;0;0;0;0;0;0;0;0;;;
1099;05.10.2017 03:15;;;05.10.2017 11:28;05.10.2017 12:00;2;;08.10.2017 01:32;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2588;05.10.2017 15:04;06.10.2017 00:17;;;06.10.2017 22:00;2;0;15.10.2017 06:00;;0;1303;INVALID;0;0;0;1;0;0;0;0;0;;;
1092;06.10.2017 23:00;;;;07.10.2017 00:01;2;;10.10.2017 10:55;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
1851;07.10.2017 00:30;07.10.2017 07:26;;;;6;;12.10.2017 09:05;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
1851;;07.10.2017 09:52;07.10.2017 10:51;07.10.2017 20:16;07.10.2017 19:10;3;1;12.10.2017 09:05;;0;558;499;0;0;0;1;1;1;0;0;0;;;
1320;07.10.2017 21:21;;;;08.10.2017 05:20;2;1;10.10.2017 00:10;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2592;08.10.2017 00:01;;;08.10.2017 11:28;08.10.2017 10:00;2;1;08.10.2017 15:00;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
8872;08.10.2017 15:13;;;;08.10.2017 17:00;2;1;10.11.2017 00:40;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
108;08.10.2017 18:12;08.10.2017 23:41;;;09.10.2017 05:30;4;2;09.10.2017 16:00;;0;349;INVALID;0;0;0;1;0;0;0;0;0;;;
1092;09.10.2017 05:35;;;;09.10.2017 13:35;2;;10.10.2017 10:55;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
2566;09.10.2017 15:45;;;;09.10.2017 17:30;1;1;09.10.2017 19:17;;1;INVALID;INVALID;0;0;0;0;0;0;1;1;1;;;
83;09.10.2017 21:15;09.10.2017 17:44;;;;6;;12.10.2017 09:50;;0;INVALID;INVALID;0;0;0;1;0;0;0;0;0;;;
83;;10.10.2017 22:09;;;10.10.2017 08:45;3;;12.10.2017 09:50;;0;-804;INVALID;0;0;0;1;0;0;0;0;0;;;
1231;10.10.2017 09:23;;;;10.10.2017 21:25;3;1;13.10.2017 17:35;;0;INVALID;INVALID;0;0;0;0;0;0;0;0;0;;;
