ID;Kuh/Faerse;Gekalbt (ja/nein);Umstallzeit;Echte Geburtszeit;Event (ja/nein);Event Score;SonT;Eventzeit;SoffT;Moocall Score;Alarm (ja/nein);Alarmtyp (HA1/HA2);Alarmzeit
2588;Kuh;nein;;;ja;4;2017-10-06 23:00:00;2017-10-09 04:00:00;;2;nein;;
2588;Kuh;nein;;;ja;2;2017-10-09 23:25:00;2017-10-10 13:45:00;2017-10-10 15:56:00;1;nein;;
2588;Kuh;nein;;;ja;3;2017-10-11 16:05:00;2017-10-11 18:05:00;;1;nein;;
2588;Kuh;nein;;;ja;2;2017-10-11 18:06:00;2017-10-11 19:10:00;;1;nein;;
2588;Kuh;nein;;;ja;4;2017-10-11 19:11:00;2017-10-12 04:10:00;;2;nein;;
2588;Kuh;nein;;;ja;3;2017-10-13 00:12:00;2017-10-13 07:00:00;;1;nein;;
2588;Kuh;nein;;;ja;2;2017-10-13 07:01:00;2017-10-13 12:33:00;;0;nein;;
2588;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-06 00:17:00
2589;Kuh;nein;;;ja;2;2017-10-16 13:05:00;2017-10-16 14:19:00;2017-10-16 15:13:00;0;nein;;
2590;Kuh;nein;;;ja;2;2017-10-06 23:00:00;2017-10-07 11:00:00;2017-10-07 11:55:00;2;nein;;
2590;Kuh;nein;;;ja;3;2017-10-07 21:02:00;2017-10-10 22:10:00;;2;nein;;
2590;Kuh;nein;;;ja;4;2017-10-10 22:11:00;2017-10-11 00:07:00;;2;nein;;
2590;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-08 19:12:00
2590;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-09 00:46:00
2592;Kuh;nein;;;ja;5;2017-10-07 15:41:00;2017-10-07 23:59:00;;;nein;;
2592;Kuh;nein;;;ja;2;2017-10-08 00:01:00;2017-10-08 10:00:00;2017-10-08 11:28:00;1;nein;;
2594;Kuh;nein;;;ja;4;2017-10-16 02:10:00;2017-10-18 12:08:00;2017-10-18 20:07:00;2;nein;;
2594;Kuh;nein;;;ja;3;2017-10-18 12:09:00;2017-10-18 19:16:00;;2;nein;;
2594;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-17 20:13:00
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;ja;3;2017-10-11 16:10:00;2017-10-11 20:00:00;;0;nein;;
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;ja;9;2017-10-11 20:01:00;2017-10-15 05:24:00;;0;nein;;
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;ja;1;2017-10-15 05:25:00;2017-10-15 16:00:00;2017-10-15 18:04:00;2;nein;;
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;nein;;;;;;ja;HA1h;2017-10-15 13:22:00
2595;Faerse;ja;2017-10-15 16:00:00;2017-10-15 17:15:00;nein;;;;;;ja;HA2h;2017-10-15 14:22:00
3620;Kuh;ja;2017-10-24 13:30:00;2017-10-24 15:15:00;ja;4;2017-10-19 06:05:00;2017-10-19 09:14:00;;2;nein;;
3620;Kuh;ja;2017-10-24 13:30:00;2017-10-24 15:15:00;ja;3;2017-10-21 01:14:00;2017-10-21 19:22:00;;1;nein;;
3620;Kuh;ja;2017-10-24 13:30:00;2017-10-24 15:15:00;ja;4;2017-10-21 19:23:00;2017-10-21 23:17:00;;2;nein;;
3620;Kuh;ja;2017-10-24 13:30:00;2017-10-24 15:15:00;ja;5;2017-10-23 15:22:00;2017-10-24 00:30:00;;0;nein;;
3620;Kuh;ja;2017-10-24 13:30:00;2017-10-24 15:15:00;ja;1;2017-10-24 01:08:00;2017-10-24 13:30:00;;1;nein;;
3620;Kuh;ja;2017-10-24 13:30:00;2017-10-24 15:15:00;nein;;;;;;ja;HA1h;2017-10-21 19:44:00
3620;Kuh;ja;2017-10-24 13:30:00;2017-10-24 15:15:00;nein;;;;;;ja;HA1h;2017-10-24 11:52:00
3620;Kuh;ja;2017-10-24 13:30:00;2017-10-24 15:15:00;nein;;;;;;ja;HA2h;2017-10-24 12:52:00
3621;Kuh;ja;2017-10-12 20:27:00;2017-10-12 21:10:00;ja;4;2017-10-10 02:12:00;2017-10-10 13:15:00;;2;nein;;
3621;Kuh;ja;2017-10-12 20:27:00;2017-10-12 21:10:00;ja;3;2017-10-11 05:12:00;2017-10-11 11:00:00;2017-10-11 12:21:00;0;nein;;
3621;Kuh;ja;2017-10-12 20:27:00;2017-10-12 21:10:00;ja;1;2017-10-12 12:15:00;2017-10-12 20:27:00;;0;nein;;
2600;Kuh;nein;;;ja;3;2017-10-21 19:10:00;2017-10-22 12:12:00;2017-10-22 12:57:00;0;nein;;
9769;Kuh;nein;;;ja;2;2017-10-26 01:05:00;2017-10-26 02:13:00;2017-10-26 00:19:00;1;nein;;
9769;Kuh;nein;;;ja;4;2017-10-26 23:07:00;2017-10-27 06:04:00;;2;nein;;
9769;Kuh;nein;;;ja;2;2017-11-01 20:09:00;2017-11-01 23:10:00;;0;nein;;
9769;Kuh;nein;;;nein;;;;;;ja;HA1h;2017-10-26 00:18:00
9769;Kuh;nein;;;nein;;;;;;ja;HA2h;2017-10-26 00:19:00
2603;Kuh;nein;;;ja;2;2017-10-19 12:05:00;2017-10-19 12:30:00;;0;nein;;
2603;Kuh;nein;;;ja;2;2017-10-19 14:00:00;2017-10-19 18:10:00;2017-10-19 18:08:00;0;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-15 14:15:00;2017-12-16 01:09:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;2;2017-12-16 01:10:00;2017-12-16 14:10:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-16 14:11:00;2017-12-16 15:15:00;;0;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-16 15:16:00;2017-12-16 18:02:00;;0;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-16 18:03:00;2017-12-16 22:08:00;;0;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-16 22:09:00;2017-12-16 23:11:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-16 23:12:00;2017-12-17 08:11:00;;0;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-17 08:12:00;2017-12-17 09:12:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-17 09:13:00;2017-12-17 13:15:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-17 13:16:00;2017-12-17 16:07:00;;2;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-17 16:08:00;2017-12-17 22:07:00;;2;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-17 22:08:00;2017-12-17 23:13:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;3;2017-12-17 23:14:00;2017-12-18 03:14:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-18 03:15:00;2017-12-18 05:12:00;;2;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-18 05:13:00;2017-12-18 06:11:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-18 06:12:00;2017-12-18 14:07:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-18 14:08:00;2017-12-18 15:12:00;;2;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-18 15:13:00;2017-12-18 17:12:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-18 17:13:00;2017-12-18 18:08:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-18 18:09:00;2017-12-18 23:14:00;;2;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;2;2017-12-18 23:15:00;2017-12-19 03:11:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;4;2017-12-19 03:12:00;2017-12-19 05:12:00;;1;nein;;
9774;Kuh;ja;2017-12-19 17:30:00;2017-12-19 18:45:00;ja;2;2017-12-19 05:13:00;2017-12-19 10:18:00;;1;nein;;
