Cow-ID,SonT,HA 1h,HA 2h,SoffT,Event,Event-Score,Moocall-Score,Date/Time of Parturition,Kommentar
3944,19.10.2017 01:20,,,19.10.2017 08:56,19.10.2017 07:11,4,2,26.10.2017 13:05,
1803,19.10.2017 07:15,,,,19.10.2017 09:05,4,2,23.10.2017 04:40,
2611,19.10.2017 09:06,19.10.2017 11:15,,19.10.2017 11:52,19.10.2017 11:02,2,1,24.10.2017 05:15,
2603,19.10.2017 12:05,,,,19.10.2017 12:30,2,0,20.10.2017 10:10,
2603,19.10.2017 14:00,,,19.10.2017 18:08,19.10.2017 18:10,2,0,20.10.2017 10:10,
1223,20.10.2017 00:15,,,20.10.2017 13:46,20.10.2017 12:11,2,0,26.10.2017 07:50,
2619,20.10.2017 23:26,,,,21.10.2017 05:05,4,2,21.10.2017 15:50,
2611,21.10.2017 05:06,,,21.10.2017 08:51,21.10.2017 08:05,2,0,24.10.2017 05:15,
527,21.10.2017 17:24,,,,23.10.2017 06:05,4,2,26.10.2017 02:50,
1223,23.10.2017 06:10,,,,24.10.2017 09:45,2,1,26.10.2017 07:50,
2631,24.10.2017 10:05,24.10.2017 11:16,24.10.2017 12:27,,24.10.2017 23:11,2,4,01.11.2017 15:25,
2648,24.10.2017 23:12,,,,25.10.2017 07:03,3,0,27.10.2017 11:40,
2648,25.10.2017 07:04,,,,25.10.2017 10:02,4,2,27.10.2017 11:40,
194,25.10.2017 10:08,,,,26.10.2017 02:30,4,2,27.10.2017 02:00,
1168,26.10.2017 02:21,,,,26.10.2017 03:12,2,0,01.11.2017 01:40,
3944,26.10.2017 03:20,26.10.2017 10:33,26.10.2017 11:33,26.10.2017 13:16,26.10.2017 12:30,1,1,26.10.2017 13:05,
1951,26.10.2017 14:20,26.10.2017 16:05,,26.10.2017 17:25,26.10.2017 20:11,2,0,09.11.2017 20:05,
9769,26.10.2017 23:07,,,,27.10.2017 06:04,4,2,10.11.2017 04:00,
1337,26.10.2017 06:05,27.10.2017 07:41,,27.10.2017 11:23,27.10.2017 13:10,2,0,29.10.2017 12:10,
1175,27.10.2017 15:16,,,,27.10.2017 16:21,2,0,01.11.2017 20:00,
1337,27.10.2017 16:24,28.10.2017 02:01,,,,6,,29.10.2017 12:10,
1337,,28.10.2017 08:06,,,29.10.2017 11:30,1,0,29.10.2017 12:10,
1337,,29.10.2017 11:06,29.10.2017 12:17,29.10.2017 13:05,,7,,29.10.2017 12:10,
2621,29.10.2017 15:07,30.10.2017 01:16,,,,6,,31.10.2017 23:45,
2621,,30.10.2017 20:26,30.10.2017 21:15,,,6,,31.10.2017 23:45,
2621,,31.10.2017 21:46,31.10.2017 22:46,31.10.2017 23:12,31.10.2017 22:30,1,2,31.10.2017 23:45,
2635,31.10.2017 23:22,,,,01.11.2017 22:00,4,2,06.11.2017 12:25,
2641,01.11.2017 22:01,,,,01.11.2017 23:04,5,0,09.11.2017 04:50,
2641,01.11.2017 23:10,01.11.2017 23:13,,,,6,,09.11.2017 04:50,
2641,,02.11.2017 01:58,,,,6,,09.11.2017 04:50,
2641,,02.11.2017 13:48,,,,6,,09.11.2017 04:50,
2641,,02.11.2017 16:37,,,,6,,09.11.2017 04:50,
2641,,02.11.2017 18:43,,,03.11.2017 00:10,4,3,09.11.2017 04:50,
2641,03.11.2017 00:11,03.11.2017 06:35,,,,6,,09.11.2017 04:50,
2641,,03.11.2017 10:21,03.11.2017 11:21,03.11.2017 11:57,03.11.2017 12:01,2,3,09.11.2017 04:50,
2641,03.11.2017 14:02,,03.11.2017 16:10,,,6,,09.11.2017 04:50,
2641,,,03.11.2017 22:44,,04.11.2017 00:25,2,3,09.11.2017 04:50,
2633,04.11.2017 00:28,04.11.2017 01:19,04.11.2017 02:19,,,6,,05.11.2017 12:15,
2633,,05.11.2017 08:53,05.11.2017 10:05,05.11.2017 11:00,05.11.2017 10:30,1,0,05.11.2017 12:15,
2641,05.11.2017 13:02,05.11.2017 11:26,,,06.11.2017 01:08,2,4,09.11.2017 04:50,
2636,06.11.2017 01:11,,,,06.11.2017 10:01,4,2,08.11.2017 18:40,
570,06.11.2017 10:11,06.11.2017 11:55,,,06.11.2017 12:00,2,1,07.11.2017 23:45,
3661,06.11.2017 12:25,,06.11.2017 12:55,,06.11.2017 18:15,5,1,10.11.2017 17:50,
3661,06.11.2017 18:16,,,,07.11.2017 07:27,3,0,10.11.2017 17:50,
3661,07.11.2017 07:28,,,,07.11.2017 08:24,3,0,10.11.2017 17:50,
3661,07.11.2017 08:25,07.11.2017 21:06,,08.11.2017 11:17,08.11.2017 10:12,4,2,10.11.2017 17:50,
3661,08.11.2017 12:12,,,,10.11.2017 14:55,6,,10.11.2017 17:50,TFAB
3661,,,,10.11.2017 16:13,10.11.2017 16:30,1,0,10.11.2017 17:50,
2645,10.11.2017 23:13,11.11.2017 03:35,11.11.2017 04:35,11.11.2017 11:59,11.11.2017 11:04,3,0,,Study over
2574,29.09.2017 18:10,29.09.2017 18:32,29.09.2017 19:32,,,6,,02.10.2017 17:40,
2574,,30.09.2017 20:49,,,01.10.2017 04:00,3,,02.10.2017 17:40,
2574,01.10.2017 04:01,01.10.2017 08:50,01.10.2017 09:50,,,6,,02.10.2017 17:40,
2574,,02.10.2017 14:25,02.10.2017 15:25,02.10.2017 17:21,02.10.2017 17:00,3,,02.10.2017 17:40,
2532,02.10.2017 18:00,02.10.2017 19:27,,,,6,,03.10.2017 13:35,
2532,,02.10.2017 21:41,,02.10.2017 23:07,02.10.2017 22:00,2,0,03.10.2017 13:35,
921,29.09.2017 16:16,,,,29.09.2017 16:20,2,,08.10.2017 00:50,
858,29.09.2017 16:25,,,,29.09.2017 17:00,2,,30.09.2017 03:25,
1854,29.09.2017 18:15,29.09.2017 19:46,,29.09.2017 20:18,29.09.2017 20:00,2,,01.10.2017 11:55,
398,30.09.2017 10:00,30.09.2017 16:40,,,01.10.2017 09:00,3,,03.10.2017 06:50,
398,01.10.2017 09:01,03.10.2017 05:12,03.10.2017 06:12,,03.10.2017 04:30,1,,03.10.2017 06:50,
2532,03.10.2017 07:50,03.10.2017 08:46,03.10.2017 09:46,,,6,,03.10.2017 13:35,
2532,,03.10.2017 13:03,,03.10.2017 13:29,,6,,03.10.2017 13:35,
2572,03.10.2017 13:50,03.10.2017 14:39,03.10.2017 15:39,,03.10.2017 23:00,3,,10.10.2017 08:00,
2572,03.10.2017 23:01,04.10.2017 02:24,,,04.10.2017 10:00,3,1,10.10.2017 08:00,
2576,04.10.2017 10:05,,,,04.10.2017 13:30,20,,07.10.2017 07:55,
2572,04.10.2017 13:47,04.10.2017 15:39,04.10.2017 16:39,,04.10.2017 23:00,3,1,10.10.2017 08:00,
2572,04.10.2017 23:01,05.10.2017 12:42,,05.10.2017 23:51,05.10.2017 23:00,4,2,10.10.2017 08:00,
3701,06.10.2017 01:00,,,,06.10.2017 09:00,2,,14.10.2017 12:00,
2576,06.10.2017 23:00,07.10.2017 04:39,07.10.2017 05:26,07.10.2017 07:47,07.10.2017 06:30,1,0,07.10.2017 07:55,
3493,07.10.2017 08:20,,,08.10.2017 07:35,07.10.2017 15:14,2,1,08.10.2017 18:35,
3493,,08.10.2017 08:10,08.10.2017 09:18,09.10.2017 12:31,,5,,08.10.2017 18:35,
2576,29.09.2017 16:12,29.09.2017 17:50,,01.10.2017 12:51,01.10.2017 13:00,2,,07.10.2017 07:55,
1045,02.10.2017 13:00,04.10.2017 14:33,04.10.2017 15:21,04.10.2017 17:09,04.10.2017 15:30,1,,04.10.2017 16:20,
1099,05.10.2017 03:15,,,05.10.2017 11:28,05.10.2017 12:00,2,,08.10.2017 01:32,
2588,05.10.2017 15:04,06.10.2017 00:17,,,06.10.2017 22:00,2,0,15.10.2017 06:00,
1092,06.10.2017 23:00,,,,07.10.2017 00:01,2,,10.10.2017 10:55,
1851,07.10.2017 00:30,07.10.2017 07:26,,,,6,,12.10.2017 09:05,
1851,,07.10.2017 09:52,07.10.2017 10:51,07.10.2017 20:16,07.10.2017 19:10,3,1,12.10.2017 09:05,
1320,07.10.2017 21:21,,,,08.10.2017 05:20,2,1,10.10.2017 00:10,
2592,08.10.2017 00:01,,,08.10.2017 11:28,08.10.2017 10:00,2,1,08.10.2017 15:00,
8872,08.10.2017 15:13,,,,08.10.2017 17:00,2,1,10.11.2017 00:40,
108,08.10.2017 18:12,08.10.2017 23:41,,,09.10.2017 05:30,4,2,09.10.2017 16:00,
1092,09.10.2017 05:35,,,,09.10.2017 13:35,2,,10.10.2017 10:55,
2566,09.10.2017 15:45,09.10.2017 17:44,,,09.10.2017 17:30,1,1,09.10.2017 19:17,
83,09.10.2017 21:15,10.10.2017 22:09,,,10.10.2017 08:45,3,,12.10.2017 09:50,
1231,10.10.2017 09:23,,,,10.10.2017 21:25,3,1,13.10.2017 17:35,
1231,10.10.2017 21:26,10.10.2017 23:08,,,,6,,13.10.2017 17:35,
1231,,11.10.2017 04:05,,,,6,,13.10.2017 17:35,
1231,,11.10.2017 05:48,,,,6,,13.10.2017 17:35,
1231,,11.10.2017 13:16,,,,6,,13.10.2017 17:35,
1231,,11.10.2017 16:14,,,11.10.2017 19:20,3,1,13.10.2017 17:35,
1231,11.10.2017 19:21,,,,11.10.2017 22:13,4,2,13.10.2017 17:35,
1231,11.10.2017 22:15,,,,12.10.2017 18:25,3,1,13.10.2017 17:35,
2588,13.10.2017 00:12,,,,13.10.2017 07:00,3,1,15.10.2017 06:00,
2588,13.10.2017 07:01,,,,13.10.2017 12:33,2,0,15.10.2017 06:00,
2585,13.10.2017 13:10,,,,14.10.2017 08:03,5,1,18.10.2017 13:10,
2585,14.10.2017 08:04,,,,14.10.2017 13:03,3,1,18.10.2017 13:10,
2585,14.10.2017 13:04,,,,15.10.2017 12:10,3,1,18.10.2017 13:10,
2585,15.10.2017 12:11,,,,18.10.2017 07:04,9,0,18.10.2017 13:10,TFAB
2585,18.10.2017 07:05,,,18.10.2017 10:59,18.10.2017 09:05,4,2,18.10.2017 13:10,
3912,18.10.2017 10:17,18.10.2017 13:25,,18.10.2017 16:39,18.10.2017 11:18,2,1,20.10.2017 15:05,
141,18.10.2017 11:20,,,,18.10.2017 15:21,2,0,21.10.2017 10:15,
3940,19.10.2017 00:10,,,,19.10.2017 09:14,3,1,25.10.2017 17:00,
3940,19.10.2017 09:15,,,,19.10.2017 13:12,2,0,25.10.2017 17:00,
3940,19.10.2017 13:13,,,,19.10.2017 23:20,3,1,25.10.2017 17:00,
3940,19.10.2017 23:21,,,,20.10.2017 02:10,3,1,25.10.2017 17:00,
